zip_code,store_number,item_description,bottles_sold,sale_dollars
50010.0,3524,Member's Mark Spiced Rum,288,3913.92
50022.0,2591,Paramount Triple Sec,4,23.04
50111.0,4136,Saints N Sinners Apple Pie,108,1296.0
50131.0,2587,Platinum 7x Vodka,48,64.32
50158.0,2544,Kamora Coffee Liqueur,6,75.54
50158.0,5166,Hennessy VS,24,206.64
50158.0,5416,Kahlua Coffee,3,112.47
50263.0,2665,Jagermeister w/2 Shot Glasses,84,1518.72
50265.0,5146,Kahlua Coffee,72,1349.28
50266.0,2619,Avion Silver w/Powell & Mahoney Margarita Mix,90,3372.3
50314.0,3772,Paul Masson Peach Grande Amber Brandy,24,70.56
50314.0,3772,Remy Martin VSOP,24,116.64
50314.0,4829,Hennessy Vs Cognac,60,1709.4
50314.0,4829,Juarez Triple Sec,240,871.2
50316.0,4057,Hennessy VS,48,413.28
50317.0,2636,Paul Masson Peach Grande Amber Brandy,24,70.56
50320.0,2633,Di Amore Quattro Orange,120,1755.6
50320.0,2633,Glen Oaks Whiskey Buy the Barrel,66,1881.0
50320.0,2633,Tortilla Gold Dss,72,487.44
50327.0,4971,Bacardi Gold Rum PET,102,2295.0
50401.0,2515,Ole Smoky Blackberry Moonshine Mini,48,630.24
50401.0,2515,Ole Smoky Salty Caramel Whiskey,18,270.0
50461.0,4559,Five O'clock Vodka,30,324.0
50501.0,2562,Titos Vodka,108,1563.84
50588.0,2576,Phillips Root Beer Schnapps,4,33.0
50662.0,4156,Ole Smoky Apple Pie Moonshine 70prf Mini,8,105.04
50701.0,2643,Dekuyper Triple Sec,2,7.0
50701.0,3993,Bacardi Gold,7,47.25
50701.0,3993,Bacardi Gold Mini,4,33.24
50702.0,2538,HA Elijah Craig Cask Barrel Proof,18,807.84
50702.0,3494,Tortilla Gold Dss,768,5199.36
50703.0,2571,Bacardi Gold,1,6.75
50703.0,2571,Pinnacle Peach w/ Punch Dispenser,180,1985.4
50703.0,5063,Seagrams Extra Smooth,24,63.36
50703.0,5113,Hennessy VS,24,206.64
50707.0,4153,Jameson,60,1349.4
50801.0,4291,Bacardi Gold Rum,5,71.25
51106.0,3447,Juarez Triple Sec,144,522.72
51106.0,3447,Kahlua Coffee Liqueur,240,5397.6
51106.0,3447,Kapali Coffee Liqueur,84,720.72
51246.0,3705,Arrow Spearmint Schnapps,5,37.5
51247.0,5446,Dekuyper Triple Sec,6,21.0
51360.0,2522,Tortilla Gold Dss,48,324.96
51401.0,2593,Bacardi Gold Mini,12,99.72
51401.0,2593,Basil Hayden Dark Rye,18,637.74
51401.0,4158,Paramount Sloe Gin,4,32.52
51501.0,2641,99 Peppermint Mini,2,17.82
51501.0,3963,Bacardi Gold Mini,4,33.24
51501.0,4312,Juarez Triple Sec,48,174.24
51501.0,4867,Kahlua Coffee,7,68.18
51555.0,4152,Paramount Gold Rum,2,13.26
52001.0,4167,Kamora Coffee Liqueur,4,50.36
52003.0,2465,Bacardi Gold Rum Mini,5,41.55
52136.0,5244,Five O'clock Vodka,2,75.12
52172.0,2178,Kahlua Coffee,1,9.74
52240.0,2512,Juarez Triple Sec,60,217.8
52240.0,2512,Templeton Rye,18,488.52
52241.0,2670,Maestro Agavero Gold,48,504.0
52241.0,3869,Bacardi Gold,1,6.75
52314.0,5102,Juarez Gold Dss,1560,11620.8
52338.0,9001,Cedar Ridge Single Malt Single Barrel Select,90,3712.5
52402.0,2843,Paramount Gold Rum,7,42.0
52402.0,3385,Montezuma Triple Sec,216,691.2
52411.0,2647,Everclear Alcohol,36,486.0
52556.0,2601,Juarez Triple Sec,6,21.78
52601.0,4898,Hennessy VS,24,206.64
52601.0,5204,Five O'clock Vodka,48,81.6
52627.0,3549,Kapali Coffee Liqueur,36,237.24
52732.0,2616,Paramount Gold Rum,24,282.24
52761.0,3162,Dekuyper Peachtree,4,45.72
52803.0,4962,Everclear Alcohol,3,18.9
52804.0,5003,Martell VSSD,2,17.98
